,C++,Perl,C,Python,D,E,Standard ML,Java,Go,AppleScript,Elixir,Swift,C#,Scala,JavaScript,Clojure,Mathematica,Rust,Common Lisp,Scheme,PowerShell,Erlang,APL,PostScript,R,Prolog,Emacs Lisp,Groovy,Visual Basic,FORTRAN,Shell,Kotlin,Ada,ActionScript,Haskell,OCaml,F#,Elm,Visual Basic Script,Racket,Julia,PHP,Lua,Awk,Ruby,TypeScript,CoffeeScript
C++,1.0,0.37096775,0.8727273,0.6,0.8545455,0.6545454,0.3392857,0.8064516,0.5833333,0.5964912,0.3859649,0.59375,0.63076925,0.44642857,0.66071427,0.3272727,0.25,0.453125,0.4107143,0.42857143,0.46376812,0.31944445,0.21818182,0.30985916,0.26785713,0.34545454,0.34545454,0.36363637,0.35106382,0.13846155,0.45901638,0.61290324,0.41379312,0.5507246,0.27272728,0.375,0.34545454,0.23636363,0.30097088,0.42857143,0.5,0.69491524,0.63793105,0.625,0.47368422,0.5285714,0.375
Perl,0.37096775,1.0,0.4181818,0.45652175,0.4181818,0.4893617,0.4054054,0.36231884,0.43396226,0.46666667,0.35135135,0.390625,0.36619717,0.3846154,0.48,0.36585367,0.27027026,0.3469388,0.3809524,0.3488372,0.61538464,0.26666668,0.3243243,0.25,0.23684211,0.33333334,0.3809524,0.45945945,0.23333333,0.07936508,0.55813956,0.38709676,0.29411766,0.32876712,0.3783784,0.36585367,0.4054054,0.34210527,0.1919192,0.3488372,0.34375,0.4642857,0.42307693,0.44,0.36842105,0.3243243,0.3783784
C,0.8727273,0.4181818,1.0,0.6666667,0.9791667,0.7291667,0.38,0.7580645,0.6481481,0.68,0.42,0.6551724,0.625,0.48979592,0.6792453,0.33333334,0.2857143,0.50877196,0.41509435,0.43396226,0.46969697,0.35384616,0.25,0.34375,0.27450982,0.39583334,0.34615386,0.39583334,0.35164836,0.15384616,0.5185185,0.6785714,0.4181818,0.56060606,0.3125,0.34615386,0.35416666,0.27083334,0.3,0.43396226,0.5081967,0.71428573,0.6545454,0.6415094,0.52,0.53731346,0.42857143
Python,0.6,0.45652175,0.6666667,1.0,0.6666667,0.8974359,0.4864865,0.516129,0.62222224,0.8,0.55263156,0.5714286,0.52307695,0.6666667,0.6666667,0.47368422,0.39473686,0.509434,0.575,0.5365854,0.45614034,0.32258064,0.33333334,0.28125,0.31707317,0.46341464,0.5,0.5,0.3,0.18181819,0.5555556,0.6111111,0.4117647,0.5,0.41666666,0.425,0.4722222,0.3611111,0.25,0.5365854,0.5,0.627451,0.68085104,0.6511628,0.7,0.47058824,0.53846157
D,0.8545455,0.4181818,0.9791667,0.6666667,1.0,0.75,0.38,0.7741935,0.6666667,0.68,0.43137255,0.67241377,0.609375,0.48979592,0.6981132,0.33333334,0.2857143,0.5263158,0.41509435,0.43396226,0.46969697,0.34920636,0.25,0.33846155,0.27450982,0.41666666,0.34615386,0.39583334,0.36263737,0.16666667,0.537037,0.6964286,0.4181818,0.57575756,0.3125,0.34615386,0.35416666,0.27083334,0.3030303,0.43396226,0.5081967,0.6964286,0.6545454,0.6226415,0.52,0.5522388,0.42857143
E,0.6545454,0.4893617,0.7291667,0.8974359,0.75,1.0,0.45,0.58064514,0.6888889,0.80487806,0.5952381,0.6315789,0.5692308,0.61538464,0.75555557,0.45238096,0.35,0.5294118,0.55813956,0.52272725,0.5,0.37096775,0.30769232,0.328125,0.29545453,0.46153846,0.4651163,0.5641026,0.32222223,0.18461539,0.6304348,0.6666667,0.4,0.54545456,0.3846154,0.39534885,0.43589744,0.33333334,0.26262626,0.52272725,0.5,0.6862745,0.70212764,0.70454544,0.70731705,0.49253732,0.5
Standard ML,0.3392857,0.4054054,0.38,0.4864865,0.38,0.45,1.0,0.31746033,0.45652175,0.475,0.5833333,0.39285713,0.2923077,0.5277778,0.47727272,0.5882353,0.4074074,0.42857143,0.5882353,0.5,0.35849056,0.3,0.44444445,0.265625,0.3125,0.4864865,0.6764706,0.6666667,0.23333333,0.15873016,0.3488372,0.3888889,0.37254903,0.31343284,0.7407407,0.67741936,0.7777778,0.6666667,0.22222222,0.5,0.3559322,0.4117647,0.44680852,0.47619048,0.54545456,0.31343284,0.6333333
Java,0.8064516,0.36231884,0.7580645,0.516129,0.7741935,0.58064514,0.31746033,1.0,0.546875,0.53125,0.33846155,0.5633803,0.63380283,0.3809524,0.6451613,0.27419356,0.22222222,0.4225352,0.34920636,0.36507937,0.45333335,0.2857143,0.19354838,0.25,0.26984128,0.32258064,0.29032257,0.30645162,0.36,0.13636364,0.42647058,0.5797101,0.40625,0.5466667,0.24193548,0.33870968,0.29032257,0.20967741,0.29,0.36507937,0.4857143,0.64615387,0.609375,0.58064514,0.40625,0.5263158,0.33333334
Go,0.5833333,0.43396226,0.6481481,0.62222224,0.6666667,0.6888889,0.45652175,0.546875,1.0,0.6458333,0.40425533,0.76785713,0.47692308,0.51111114,0.7058824,0.3469388,0.3043478,0.6111111,0.46,0.42,0.47619048,0.3442623,0.26666668,0.2769231,0.27659574,0.41304347,0.38,0.4,0.36666667,0.18461539,0.4716981,0.74545455,0.49056605,0.54545456,0.33333334,0.33333334,0.35555556,0.2888889,0.28282827,0.42,0.5344828,0.6363636,0.6603774,0.66,0.5,0.5797101,0.4375
AppleScript,0.5964912,0.46666667,0.68,0.8,0.68,0.80487806,0.475,0.53125,0.6458333,1.0,0.58536583,0.5862069,0.5151515,0.525,0.7173913,0.3902439,0.35897437,0.5192308,0.5116279,0.47727272,0.5,0.4,0.31578946,0.3125,0.2857143,0.43589744,0.41860464,0.41025642,0.35555556,0.2,0.5813953,0.60714287,0.4509804,0.5147059,0.39473686,0.37209302,0.41025642,0.34210527,0.3131313,0.47727272,0.6,0.6603774,0.82608694,0.70454544,0.74358976,0.49275362,0.5121951
Elixir,0.3859649,0.35135135,0.42,0.55263156,0.43137255,0.5952381,0.5833333,0.33846155,0.40425533,0.58536583,1.0,0.39655173,0.35820895,0.5,0.45652175,0.55263156,0.2857143,0.46153846,0.5,0.46153846,0.31034482,0.43333334,0.3529412,0.33846155,0.23076923,0.45,0.5897436,0.57894737,0.26666668,0.203125,0.41304347,0.39285713,0.28,0.3188406,0.5,0.5,0.5588235,0.44117647,0.24,0.46153846,0.37931034,0.39215687,0.5106383,0.4090909,0.7941176,0.3043478,0.43243244
Swift,0.59375,0.390625,0.6551724,0.5714286,0.67241377,0.6315789,0.39285713,0.5633803,0.76785713,0.5862069,0.39655173,1.0,0.49253732,0.58928573,0.6393443,0.30508474,0.26785713,0.6964286,0.41666666,0.38333333,0.44,0.328125,0.23214285,0.3283582,0.24561404,0.36842105,0.3559322,0.35714287,0.47777778,0.18461539,0.453125,0.9298246,0.47540984,0.6212121,0.2857143,0.2881356,0.30357143,0.25,0.2929293,0.38333333,0.5538462,0.61538464,0.61290324,0.6,0.46551725,0.64285713,0.39285713
C#,0.63076925,0.36619717,0.625,0.52307695,0.609375,0.5692308,0.2923077,0.63380283,0.47692308,0.5151515,0.35820895,0.49253732,1.0,0.36923078,0.5692308,0.265625,0.21538462,0.3880597,0.34848484,0.35384616,0.41025642,0.30379745,0.1875,0.2820513,0.23076923,0.296875,0.2923077,0.32307693,0.31958762,0.121212125,0.4,0.5151515,0.36363637,0.5733333,0.234375,0.265625,0.2769231,0.203125,0.317757,0.35384616,0.5205479,0.61764705,0.5671642,0.53846157,0.41791046,0.53846157,0.32307693
Scala,0.44642857,0.3846154,0.48979592,0.6666667,0.48979592,0.61538464,0.5277778,0.3809524,0.51111114,0.525,0.5,0.58928573,0.36923078,1.0,0.46666667,0.4473684,0.41666666,0.56,0.5,0.46341464,0.31578946,0.3442623,0.33333334,0.234375,0.31578946,0.47368422,0.45,0.5555556,0.34444445,0.21538462,0.37777779,0.5925926,0.34,0.36363637,0.44444445,0.45,0.5,0.3888889,0.23232323,0.46341464,0.41379312,0.4117647,0.45652175,0.4318182,0.6097561,0.4057971,0.5675676
JavaScript,0.66071427,0.48,0.6792453,0.6666667,0.6981132,0.75555557,0.47727272,0.6451613,0.7058824,0.7173913,0.45652175,0.6393443,0.5692308,0.46666667,1.0,0.38636363,0.3181818,0.5,0.5106383,0.4888889,0.60714287,0.3181818,0.27906978,0.2753623,0.3409091,0.39534885,0.42553192,0.41860464,0.37362638,0.18181819,0.5294118,0.6166667,0.56,0.6515151,0.3488372,0.4,0.39534885,0.30232558,0.32323232,0.4888889,0.6440678,0.8235294,0.8125,0.90697676,0.5555556,0.64179105,0.45652175
Clojure,0.3272727,0.36585367,0.33333334,0.47368422,0.33333334,0.45238096,0.5882353,0.27419356,0.3469388,0.3902439,0.55263156,0.30508474,0.265625,0.4473684,0.38636363,1.0,0.33333334,0.3529412,0.78125,0.7352941,0.3018868,0.27419356,0.38709676,0.2835821,0.21875,0.36842105,0.90625,0.5714286,0.2,0.140625,0.37777779,0.31578946,0.28,0.25373134,0.53125,0.54285717,0.59375,0.516129,0.18181819,0.7352941,0.27586207,0.33333334,0.36956522,0.375,0.5294118,0.25373134,0.42424244
Mathematica,0.25,0.27027026,0.2857143,0.39473686,0.2857143,0.35,0.4074074,0.22222222,0.3043478,0.35897437,0.2857143,0.26785713,0.21538462,0.41666666,0.3181818,0.33333334,1.0,0.3125,0.36363637,0.3529412,0.21153846,0.21428572,0.4,0.14754099,0.41379312,0.375,0.28125,0.3125,0.16666667,0.04761905,0.23684211,0.2777778,0.18,0.22727273,0.42857143,0.31034482,0.36,0.47619048,0.13131313,0.3529412,0.2542373,0.26923078,0.29787233,0.34146342,0.42424244,0.2238806,0.5185185
Rust,0.453125,0.3469388,0.50877196,0.509434,0.5263158,0.5294118,0.42857143,0.4225352,0.6111111,0.5192308,0.46153846,0.6964286,0.3880597,0.56,0.5,0.3529412,0.3125,1.0,0.44444445,0.4181818,0.35714287,0.38333333,0.27083334,0.36507937,0.22916667,0.42857143,0.3846154,0.42,0.34444445,0.18461539,0.40384614,0.66071427,0.30357143,0.5,0.33333334,0.3207547,0.3469388,0.29166666,0.27,0.4181818,0.46031746,0.49122807,0.5,0.45454547,0.53846157,0.52238804,0.45833334
Common Lisp,0.4107143,0.3809524,0.41509435,0.575,0.41509435,0.55813956,0.5882353,0.34920636,0.46,0.5116279,0.5,0.41666666,0.34848484,0.5,0.5106383,0.78125,0.36363637,0.44444445,1.0,0.88235295,0.3392857,0.2857143,0.375,0.2238806,0.32352942,0.3846154,0.875,0.5405405,0.24175824,0.140625,0.38297874,0.41379312,0.3207547,0.34285715,0.42424244,0.45714286,0.4848485,0.3939394,0.21568628,0.88235295,0.38709676,0.44444445,0.48,0.52272725,0.6486486,0.33802816,0.51428574
Scheme,0.42857143,0.3488372,0.43396226,0.5365854,0.43396226,0.52272725,0.5,0.36507937,0.42,0.47727272,0.46153846,0.38333333,0.35384616,0.46341464,0.4888889,0.7352941,0.3529412,0.4181818,0.88235295,1.0,0.3272727,0.2769231,0.36363637,0.18032786,0.29411766,0.36585367,0.7647059,0.5135135,0.23913044,0.14285715,0.35416666,0.37288135,0.28846154,0.32352942,0.4117647,0.4857143,0.47058824,0.38235295,0.20792079,1.0,0.36666667,0.43396226,0.47916666,0.5,0.6052632,0.3188406,0.45945945
PowerShell,0.46376812,0.61538464,0.46969697,0.45614034,0.46969697,0.5,0.35849056,0.45333335,0.47619048,0.5,0.31034482,0.44,0.41025642,0.31578946,0.60714287,0.3018868,0.21153846,0.35714287,0.3392857,0.3272727,1.0,0.26086956,0.23076923,0.2857143,0.21153846,0.28846154,0.32142857,0.32692307,0.31111112,0.09375,0.537037,0.43835616,0.4642857,0.46835443,0.28846154,0.33333334,0.32692307,0.25,0.2929293,0.3272727,0.44285715,0.62903225,0.5862069,0.5714286,0.3392857,0.4375,0.3018868
Erlang,0.31944445,0.26666668,0.35384616,0.32258064,0.34920636,0.37096775,0.3,0.2857143,0.3442623,0.4,0.43333334,0.328125,0.30379745,0.3442623,0.3181818,0.27419356,0.21428572,0.38333333,0.2857143,0.2769231,0.26086956,1.0,0.25,0.328125,0.19298245,0.44642857,0.26984128,0.36666667,0.27659574,0.20588236,0.35714287,0.33333334,0.22033899,0.2739726,0.30357143,0.265625,0.28333333,0.26785713,0.22772278,0.2769231,0.29850745,0.32394367,0.37313432,0.2769231,0.41666666,0.2535211,0.35714287
APL,0.21818182,0.3243243,0.25,0.33333334,0.25,0.30769232,0.44444445,0.19354838,0.26666668,0.31578946,0.3529412,0.23214285,0.1875,0.33333334,0.27906978,0.38709676,0.4,0.27083334,0.375,0.36363637,0.23076923,0.25,1.0,0.19672132,0.28,0.40625,0.375,0.40625,0.13333334,0.06349207,0.31578946,0.22222222,0.22,0.18181819,0.6,0.42857143,0.5,0.6666667,0.121212125,0.36363637,0.20689656,0.23529412,0.26086956,0.29268292,0.375,0.17910448,0.5
PostScript,0.30985916,0.25,0.34375,0.28125,0.33846155,0.328125,0.265625,0.25,0.2769231,0.3125,0.33846155,0.3283582,0.2820513,0.234375,0.2753623,0.2835821,0.14754099,0.36507937,0.2238806,0.18032786,0.2857143,0.328125,0.19672132,1.0,0.14754099,0.26229507,0.27941176,0.328125,0.29787233,0.109375,0.32258064,0.3283582,0.22857143,0.28,0.27868852,0.25,0.265625,0.26229507,0.27,0.18032786,0.2535211,0.3188406,0.31428573,0.23188406,0.28125,0.28947368,0.24590164
R,0.26785713,0.23684211,0.27450982,0.31707317,0.27450982,0.29545453,0.3125,0.26984128,0.27659574,0.29545453,0.23076923,0.24561404,0.23076923,0.31578946,0.3409091,0.21875,0.41379312,0.22916667,0.32352942,0.29411766,0.21153846,0.19298245,0.28,0.14754099,1.0,0.21875,0.23529412,0.21212122,0.16483517,0.09375,0.2631579,0.23636363,0.19607843,0.2238806,0.25925925,0.2580645,0.3,0.26923078,0.14,0.29411766,0.2542373,0.28846154,0.31914893,0.36585367,0.35135135,0.22058824,0.46875
Prolog,0.34545454,0.33333334,0.39583334,0.46341464,0.41666666,0.46153846,0.4864865,0.32258064,0.41304347,0.43589744,0.45,0.36842105,0.296875,0.47368422,0.39534885,0.36842105,0.375,0.42857143,0.3846154,0.36585367,0.28846154,0.44642857,0.40625,0.26229507,0.21875,1.0,0.3846154,0.45945945,0.24444444,0.171875,0.41025642,0.37037036,0.3137255,0.28787878,0.46875,0.375,0.41666666,0.40625,0.2,0.36585367,0.29310346,0.3653846,0.39583334,0.3809524,0.5,0.29850745,0.54545456
Emacs Lisp,0.34545454,0.3809524,0.34615386,0.5,0.34615386,0.4651163,0.6764706,0.29032257,0.38,0.41860464,0.5897436,0.3559322,0.2923077,0.45,0.42553192,0.90625,0.28125,0.3846154,0.875,0.7647059,0.32142857,0.26984128,0.375,0.27941176,0.23529412,0.3846154,1.0,0.5555556,0.21111111,0.140625,0.38297874,0.3508772,0.3207547,0.2857143,0.5151515,0.54285717,0.57575756,0.5,0.20588236,0.7647059,0.32258064,0.37037036,0.40816328,0.4318182,0.5555556,0.2857143,0.42857143
Groovy,0.36363637,0.45945945,0.39583334,0.5,0.39583334,0.5641026,0.6666667,0.30645162,0.4,0.41025642,0.57894737,0.35714287,0.32307693,0.5555556,0.41860464,0.5714286,0.3125,0.42,0.5405405,0.5135135,0.32692307,0.36666667,0.40625,0.328125,0.21212122,0.45945945,0.5555556,1.0,0.23076923,0.171875,0.4047619,0.35185185,0.27450982,0.28787878,0.625,0.6111111,0.6875,0.5625,0.21,0.5135135,0.27586207,0.37254903,0.39130434,0.37209302,0.5714286,0.2835821,0.6060606
Visual Basic,0.35106382,0.23333333,0.35164836,0.3,0.36263737,0.32222223,0.23333333,0.36,0.36666667,0.35555556,0.26666668,0.47777778,0.31958762,0.34444445,0.37362638,0.2,0.16666667,0.34444445,0.24175824,0.23913044,0.31111112,0.27659574,0.13333334,0.29787233,0.16483517,0.24444444,0.21111111,0.23076923,1.0,0.18888889,0.23333333,0.46666667,0.4,0.43956044,0.18888889,0.21111111,0.21111111,0.16666667,0.48672566,0.23913044,0.43333334,0.38709676,0.42222223,0.34444445,0.31111112,0.48913044,0.23333333
FORTRAN,0.13846155,0.07936508,0.15384616,0.18181819,0.16666667,0.18461539,0.15873016,0.13636364,0.18461539,0.2,0.203125,0.18461539,0.121212125,0.21538462,0.18181819,0.140625,0.04761905,0.18461539,0.140625,0.14285715,0.09375,0.20588236,0.06349207,0.109375,0.09375,0.171875,0.140625,0.171875,0.18888889,1.0,0.125,0.19402985,0.121212125,0.14705883,0.12698413,0.14285715,0.14285715,0.0952381,0.121212125,0.14285715,0.16923077,0.17391305,0.18461539,0.15384616,0.2,0.15714286,0.14285715
Shell,0.45901638,0.55813956,0.5185185,0.5555556,0.537037,0.6304348,0.3488372,0.42647058,0.4716981,0.5813953,0.41304347,0.453125,0.4,0.37777779,0.5294118,0.37777779,0.23684211,0.40384614,0.38297874,0.35416666,0.537037,0.35714287,0.31578946,0.32258064,0.2631579,0.41025642,0.38297874,0.4047619,0.23333333,0.125,1.0,0.47540984,0.33333334,0.4027778,0.39473686,0.32608697,0.35714287,0.34210527,0.21212122,0.35416666,0.34920636,0.54545456,0.49019608,0.46938777,0.4090909,0.3561644,0.3846154
Kotlin,0.61290324,0.38709676,0.6785714,0.6111111,0.6964286,0.6666667,0.3888889,0.5797101,0.74545455,0.60714287,0.39285713,0.9298246,0.5151515,0.5925926,0.6166667,0.31578946,0.2777778,0.66071427,0.41379312,0.37288135,0.43835616,0.33333334,0.22222222,0.3283582,0.23636363,0.37037036,0.3508772,0.35185185,0.46666667,0.19402985,0.47540984,1.0,0.46666667,0.6363636,0.2777778,0.27586207,0.2962963,0.24074075,0.30392158,0.37288135,0.5538462,0.61904764,0.60655737,0.5762712,0.4642857,0.6388889,0.37037036
Ada,0.41379312,0.29411766,0.4181818,0.4117647,0.4181818,0.4,0.37254903,0.40625,0.49056605,0.4509804,0.28,0.47540984,0.36363637,0.34,0.56,0.28,0.18,0.30357143,0.3207547,0.28846154,0.4642857,0.26865673,0.22,0.22857143,0.19607843,0.3137255,0.3207547,0.27450982,0.4,0.121212125,0.33333334,0.46666667,1.0,0.45588234,0.26,0.30769232,0.3,0.22,0.3030303,0.28846154,0.52459013,0.5471698,0.5660377,0.54,0.3,0.4852941,0.26
ActionScript,0.5507246,0.32876712,0.56060606,0.5,0.57575756,0.54545456,0.31343284,0.5466667,0.54545456,0.5147059,0.3188406,0.6212121,0.5733333,0.36363637,0.6515151,0.25373134,0.22727273,0.5,0.34285715,0.32352942,0.46835443,0.2739726,0.18181819,0.28,0.2238806,0.28787878,0.2857143,0.28787878,0.43956044,0.14705883,0.4027778,0.6363636,0.45588234,1.0,0.22727273,0.2647059,0.25757575,0.1969697,0.34,0.32352942,0.76811594,0.63235295,0.5942029,0.59090906,0.38235295,0.884058,0.3043478
Haskell,0.27272728,0.3783784,0.3125,0.41666666,0.3125,0.3846154,0.7407407,0.24193548,0.33333334,0.39473686,0.5,0.2857143,0.234375,0.44444445,0.3488372,0.53125,0.42857143,0.33333334,0.42424244,0.4117647,0.28846154,0.30357143,0.6,0.27868852,0.25925925,0.46875,0.5151515,0.625,0.18888889,0.12698413,0.39473686,0.2777778,0.26,0.22727273,1.0,0.71428573,0.8333333,0.9,0.17171717,0.4117647,0.2542373,0.29411766,0.32608697,0.31707317,0.45454547,0.2238806,0.61538464
OCaml,0.375,0.36585367,0.34615386,0.425,0.34615386,0.39534885,0.67741936,0.33870968,0.33333334,0.37209302,0.5,0.2881356,0.265625,0.45,0.4,0.54285717,0.31034482,0.3207547,0.45714286,0.4857143,0.33333334,0.265625,0.42857143,0.25,0.2580645,0.375,0.54285717,0.6111111,0.21111111,0.14285715,0.32608697,0.27586207,0.30769232,0.2647059,0.71428573,1.0,0.85714287,0.64285713,0.21,0.4857143,0.29508197,0.33962265,0.375,0.37209302,0.45945945,0.26086956,0.47058824
F#,0.34545454,0.4054054,0.35416666,0.4722222,0.35416666,0.43589744,0.7777778,0.29032257,0.35555556,0.41025642,0.5588235,0.30357143,0.2769231,0.5,0.39534885,0.59375,0.36,0.3469388,0.4848485,0.47058824,0.32692307,0.28333333,0.5,0.265625,0.3,0.41666666,0.57575756,0.6875,0.21111111,0.14285715,0.35714287,0.2962963,0.3,0.25757575,0.8333333,0.85714287,1.0,0.75,0.1919192,0.47058824,0.2881356,0.33333334,0.36956522,0.36585367,0.5151515,0.25373134,0.53333336
Elm,0.23636363,0.34210527,0.27083334,0.3611111,0.27083334,0.33333334,0.6666667,0.20967741,0.2888889,0.34210527,0.44117647,0.25,0.203125,0.3888889,0.30232558,0.516129,0.47619048,0.29166666,0.3939394,0.38235295,0.25,0.26785713,0.6666667,0.26229507,0.26923078,0.40625,0.5,0.5625,0.16666667,0.0952381,0.34210527,0.24074075,0.22,0.1969697,0.9,0.64285713,0.75,1.0,0.15151516,0.38235295,0.22033899,0.25490198,0.2826087,0.31707317,0.3939394,0.19402985,0.53846157
Visual Basic Script,0.30097088,0.1919192,0.3,0.25,0.3030303,0.26262626,0.22222222,0.29,0.28282827,0.3131313,0.24,0.2929293,0.317757,0.23232323,0.32323232,0.18181819,0.13131313,0.27,0.21568628,0.20792079,0.2929293,0.22772278,0.121212125,0.27,0.14,0.2,0.20588236,0.21,0.48672566,0.121212125,0.21212122,0.30392158,0.3030303,0.34,0.17171717,0.21,0.1919192,0.15151516,1.0,0.20792079,0.36363637,0.35353535,0.3939394,0.31,0.27272728,0.34343433,0.1919192
Racket,0.42857143,0.3488372,0.43396226,0.5365854,0.43396226,0.52272725,0.5,0.36507937,0.42,0.47727272,0.46153846,0.38333333,0.35384616,0.46341464,0.4888889,0.7352941,0.3529412,0.4181818,0.88235295,1.0,0.3272727,0.2769231,0.36363637,0.18032786,0.29411766,0.36585367,0.7647059,0.5135135,0.23913044,0.14285715,0.35416666,0.37288135,0.28846154,0.32352942,0.4117647,0.4857143,0.47058824,0.38235295,0.20792079,1.0,0.36666667,0.43396226,0.47916666,0.5,0.6052632,0.3188406,0.45945945
Julia,0.5,0.34375,0.5081967,0.5,0.5081967,0.5,0.3559322,0.4857143,0.53333336,0.6,0.37931034,0.5538462,0.5205479,0.41379312,0.6440678,0.27586207,0.2542373,0.46031746,0.38709676,0.36666667,0.44285715,0.29850745,0.20689656,0.2535211,0.2542373,0.29310346,0.32258064,0.27586207,0.43333334,0.16923077,0.34920636,0.5538462,0.52459013,0.76811594,0.2542373,0.29508197,0.2881356,0.22033899,0.36363637,0.36666667,1.0,0.5846154,0.6885246,0.62068963,0.4827586,0.73913044,0.3442623
PHP,0.69491524,0.4642857,0.71428573,0.627451,0.6964286,0.6862745,0.4117647,0.64615387,0.6363636,0.6603774,0.39215687,0.61538464,0.61764705,0.4117647,0.8235294,0.33333334,0.26923078,0.49122807,0.44444445,0.43396226,0.62903225,0.32394367,0.23529412,0.3188406,0.28846154,0.3653846,0.37037036,0.37254903,0.38709676,0.17391305,0.54545456,0.61904764,0.5471698,0.63235295,0.29411766,0.33962265,0.33333334,0.25490198,0.35353535,0.43396226,0.5846154,1.0,0.8113208,0.78431374,0.49056605,0.6,0.40384614
Lua,0.63793105,0.42307693,0.6545454,0.68085104,0.6545454,0.70212764,0.44680852,0.609375,0.6603774,0.82608694,0.5106383,0.61290324,0.5671642,0.45652175,0.8125,0.36956522,0.29787233,0.5,0.48,0.47916666,0.5862069,0.37313432,0.26086956,0.31428573,0.31914893,0.39583334,0.40816328,0.39130434,0.42222223,0.18461539,0.49019608,0.60655737,0.5660377,0.5942029,0.32608697,0.375,0.36956522,0.2826087,0.3939394,0.47916666,0.6885246,0.8113208,1.0,0.8043478,0.6304348,0.5942029,0.4375
Awk,0.625,0.44,0.6415094,0.6511628,0.6226415,0.70454544,0.47619048,0.58064514,0.66,0.70454544,0.4090909,0.6,0.53846157,0.4318182,0.90697676,0.375,0.34146342,0.45454547,0.52272725,0.5,0.5714286,0.2769231,0.29268292,0.23188406,0.36585367,0.3809524,0.4318182,0.37209302,0.34444445,0.15384616,0.46938777,0.5762712,0.54,0.59090906,0.31707317,0.37209302,0.36585367,0.31707317,0.31,0.5,0.62068963,0.78431374,0.8043478,1.0,0.52272725,0.58208954,0.42222223
Ruby,0.47368422,0.36842105,0.52,0.7,0.52,0.70731705,0.54545456,0.40625,0.5,0.74358976,0.7941176,0.46551725,0.41791046,0.6097561,0.5555556,0.5294118,0.42424244,0.53846157,0.6486486,0.6052632,0.3392857,0.41666666,0.375,0.28125,0.35135135,0.5,0.5555556,0.5714286,0.31111112,0.2,0.4090909,0.4642857,0.3,0.38235295,0.45454547,0.45945945,0.5151515,0.3939394,0.27272728,0.6052632,0.4827586,0.49056605,0.6304348,0.52272725,1.0,0.36231884,0.6
TypeScript,0.5285714,0.3243243,0.53731346,0.47058824,0.5522388,0.49253732,0.31343284,0.5263158,0.5797101,0.49275362,0.3043478,0.64285713,0.53846157,0.4057971,0.64179105,0.25373134,0.2238806,0.52238804,0.33802816,0.3188406,0.4375,0.2535211,0.17910448,0.28947368,0.22058824,0.29850745,0.2857143,0.2835821,0.48913044,0.15714286,0.3561644,0.6388889,0.4852941,0.884058,0.2238806,0.26086956,0.25373134,0.19402985,0.34343433,0.3188406,0.73913044,0.6,0.5942029,0.58208954,0.36231884,1.0,0.29850745
CoffeeScript,0.375,0.3783784,0.42857143,0.53846157,0.42857143,0.5,0.6333333,0.33333334,0.4375,0.5121951,0.43243244,0.39285713,0.32307693,0.5675676,0.45652175,0.42424244,0.5185185,0.45833334,0.51428574,0.45945945,0.3018868,0.35714287,0.5,0.24590164,0.46875,0.54545456,0.42857143,0.6060606,0.23333333,0.14285715,0.3846154,0.37037036,0.26,0.3043478,0.61538464,0.47058824,0.53333336,0.53846157,0.1919192,0.45945945,0.3442623,0.40384614,0.4375,0.42222223,0.6,0.29850745,1.0
